EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_t8,VQ_COLOR_CALLS
1513596887088,-1,-1,2,2,2,2,2,2,1
1513596932679,-1,-1,2,2,2,2,2,2,1
1513599325645,-1,-1,2,2,2,2,2,2,1
1513604759131,-1,-1,2,2,2,2,2,2,1
1513607741895,-1,-1,2,2,2,2,2,2,1
1513607835613,-1,-1,2,2,2,2,2,2,1
1513607908815,-1,-1,2,2,2,2,2,2,1
1513608224589,-1,-1,2,2,2,2,2,2,1
1513612186913,-1,-1,3,3,-1,2,2,2,1
1513625124165,-1,-1,3,2,2,2,2,2,1
1513632412217,-1,-1,3,2,2,2,2,2,1
1513661611437,-1,-1,3,2,3,2,2,2,1
1513662645522,-1,-1,-1,-1,2,2,2,2,0
1513664428011,-1,-1,3,3,-1,2,2,2,1
1513664837638,-1,-1,3,-1,3,2,2,2,1
1513666808379,-1,-1,-1,-1,-1,-1,2,2,1
1513668231269,-1,-1,2,2,2,2,2,2,1
1513668246834,-1,-1,2,2,2,2,2,2,1
1513670059708,-1,2,2,-1,2,2,2,3,0
1513672856550,-1,-1,2,2,2,2,2,2,1
1513676532862,-1,-1,2,2,2,2,2,2,1
1513677174209,-1,-1,2,2,2,2,2,2,1
1513677388582,-1,-1,2,2,2,2,2,2,1
1513680318946,-1,-1,-1,-1,-1,-1,2,2,1
1513683368206,-1,-1,2,2,3,3,2,2,1
1513688223363,-1,-1,2,2,2,2,2,2,1
1513691921538,-1,2,2,-1,2,2,2,2,0
1513695204914,-1,-1,2,2,2,2,2,0,0
1513698198618,-1,-1,2,3,3,2,2,2,1
1513698501659,-1,-1,-1,-1,-1,-1,2,2,1
1513754340992,-1,-1,2,2,2,2,2,2,0
1513759046006,-1,-1,-1,-1,2,2,2,2,1
1513759093861,-1,-1,-1,-1,2,2,2,2,0
