EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_CALLS
1507507008757,-1,-1,2,0,0
1507507049378,-1,-1,-1,-1,1
1507507057840,-1,-1,-1,2,0
1507507067977,-1,-1,-1,1,0
1507507080191,-1,-1,-1,1,0
1507507226620,-1,-1,2,2,0
1507509699644,-1,-1,2,1,1
1507509846154,-1,-1,-1,0,0
1507509867898,-1,-1,-1,0,0
1507509876834,-1,-1,-1,1,1
1507509878219,-1,-1,2,0,0
1507509940455,-1,-1,2,0,0
1507509947347,-1,-1,2,2,1
1507509959487,-1,-1,2,2,0
1507509960319,-1,-1,-1,-1,0
1507510010359,-1,-1,2,2,0
1507510028397,-1,-1,2,2,1
1507510031548,-1,-1,-1,0,0
1507510039457,-1,-1,-1,0,0
1507510041130,-1,-1,2,2,0
1507512527814,-1,-1,2,1,0
1507512536492,-1,-1,-1,1,0
1507512546708,-1,-1,2,2,0
1507512820629,-1,-1,2,2,0
1507512829597,-1,-1,2,1,0
1507512871271,-1,-1,-1,0,0
1507512871691,-1,-1,2,0,0
1507513312212,-1,-1,2,2,1
1507515054517,-1,-1,-1,-1,1
1507515335447,-1,-1,-1,1,1
1507515337724,-1,-1,-1,-1,1
1507515358000,-1,-1,0,0,0
1507515365829,-1,-1,2,0,1
1507515377651,-1,-1,2,0,1
1507515388469,-1,-1,2,2,0
1507515396164,-1,-1,-1,0,1
1507515406297,-1,-1,2,0,0
1507515781980,-1,-1,-1,0,1
1507515812141,-1,-1,-1,0,1
1507518237074,-1,-1,1,1,0
1507518237327,-1,-1,-1,0,0
1507518247037,-1,-1,-1,-1,1
1507518255621,-1,-1,-1,0,0
1507518264103,-1,-1,2,0,0
1507518277057,-1,-1,1,2,0
1507518284432,-1,-1,0,0,0
1507518297115,-1,-1,-1,0,0
1507518304885,-1,-1,-1,-1,0
1507518306745,-1,-1,-1,0,0
1507518307408,-1,-1,-1,0,1
1507518308082,-1,-1,2,2,0
1507518315135,-1,-1,2,1,1
1507518317755,-1,-1,-1,1,1
1507518338459,-1,-1,-1,-1,0
1507518345435,-1,-1,-1,0,1
1507518347987,-1,-1,-1,2,1
1507518358818,-1,-1,2,2,0
1507518772138,-1,-1,-1,1,1
1507521042362,-1,-1,2,2,0
1507521043517,-1,-1,2,0,0
1507521152394,-1,-1,1,2,1
1507521154968,-1,-1,2,2,1
1507521184791,-1,-1,-1,-1,0
1507521246399,-1,-1,-1,0,0
1507521256990,-1,-1,-1,2,0
1507521267127,-1,-1,2,2,0
1507521297787,-1,-1,1,0,0
1507521308042,-1,-1,2,2,0
1507521374133,-1,-1,2,1,1
1507521375149,-1,-1,2,2,1
1507523975891,-1,-1,2,2,0
1507524022169,-1,-1,2,0,0
1507524034912,-1,-1,-1,0,0
1507524035918,-1,-1,-1,-1,0
1507524142173,-1,-1,-1,-1,1
1507524382468,-1,-1,-1,1,1
1507524622631,-1,-1,-1,2,1
1507524682424,-1,-1,2,2,1
1507524682867,-1,-1,2,2,1
1507524755262,-1,-1,2,2,1
1507532805939,-1,-1,1,1,0
1507532866670,-1,-1,2,0,0
1507532887961,-1,2,0,0,0
1507532898100,-1,2,0,0,0
1507532942613,-1,-1,2,2,0
1507533236742,-1,0,2,2,1
1507534040791,-1,-1,-1,2,1
1507536796010,-1,-1,2,2,1
1507536842912,-1,-1,-1,-1,1
1507538266613,-1,-1,3,0,1
1507538282260,-1,3,3,3,0
1507538285190,-1,3,3,3,0
1507538583514,-1,-1,-1,-1,1
1507538745743,-1,0,2,2,0
1507540181570,-1,3,3,3,1
1507540181574,-1,3,3,0,1
1507540196368,-1,3,3,3,1
1507540209562,-1,3,3,2,0
1507540210849,-1,3,3,2,1
1507540271254,-1,3,3,2,0
1507553226686,-1,3,3,2,1
1507553245767,-1,-1,3,3,0
1507553246371,-1,3,3,3,1
1507553263943,-1,3,3,3,0
1507553272621,-1,3,3,3,0
1507553272627,-1,3,3,3,1
1507553272632,-1,3,3,3,0
1507553272640,-1,3,3,3,0
1507553289947,-1,3,3,3,0
1507553291772,-1,3,3,3,1
1507553329955,-1,3,3,3,0
1507553330447,-1,3,3,3,1
1507553336050,-1,-1,3,3,0
1507553337278,-1,3,3,3,0
1507553343468,-1,3,3,3,1
1507553346997,-1,3,3,2,1
1507553367057,-1,3,3,1,1
1507553367058,-1,3,3,3,1
1507553370104,-1,3,3,3,0
1507553370106,-1,3,3,3,0
1507553371480,-1,3,3,3,0
1507553382523,-1,3,3,1,1
1507553384135,-1,3,3,3,1
1507553389326,-1,-1,3,3,1
1507553395209,-1,3,3,3,1
1507553467603,-1,3,3,2,1
1507553472675,-1,3,3,2,1
1507553474965,-1,3,3,1,1
1507553489535,-1,3,3,3,0
1507553489742,-1,3,3,3,1
1507553503296,-1,3,3,2,0
1507553505527,-1,3,3,2,1
1507553506591,-1,3,3,3,0
1507553506799,-1,3,3,3,1
1507553516636,-1,3,3,3,1
1507553584699,-1,3,3,2,1
1507553623560,-1,3,3,3,0
1507553625716,-1,-1,3,3,1
1507553627776,-1,3,3,3,0
1507553627979,-1,-1,3,3,1
1507553632934,-1,3,3,3,0
1507553689440,-1,3,3,3,1
1507553736024,-1,3,3,3,0
1507553748979,-1,-1,3,3,1
1507553754518,-1,3,3,3,1
1507553809123,-1,3,3,3,1
1507553860523,-1,3,3,3,0
1507553976057,-1,-1,-1,-1,0
1507553985302,-1,3,1,1,1
1507554048081,-1,-1,-1,0,1
1507554051152,-1,-1,-1,0,0
1507554058733,-1,3,3,0,0
1507554082602,-1,0,2,2,1
1507554095204,-1,-1,1,1,1
1507554099535,-1,3,1,1,1
1507554169235,-1,3,0,0,1
1507554171250,-1,-1,0,0,0
1507554173809,-1,-1,-1,0,0
1507554220809,-1,-1,-1,1,1
1507554227005,-1,-1,-1,1,1
1507554292420,-1,3,3,2,1
1507554308639,-1,3,3,2,1
1507554311650,-1,-1,-1,0,1
1507554314696,-1,-1,-1,-1,0
1507554315715,-1,3,3,3,1
1507554338394,-1,-1,-1,0,0
1507554339696,-1,3,3,3,0
1507554411776,-1,3,3,2,1
1507554491590,-1,3,3,2,1
1507554546197,-1,3,3,2,0
1507554640148,-1,3,3,3,0
1507554640150,-1,3,3,2,1
1507554656646,-1,3,3,2,0
1507554669143,-1,3,3,2,1
1507554688004,-1,3,3,1,1
1507554690881,-1,3,3,3,0
1507554692449,-1,3,3,3,0
1507554694132,-1,3,3,3,0
1507554694861,-1,3,1,1,1
1507554791619,-1,3,3,1,0
1507554827838,-1,-1,-1,3,0
1507554836588,-1,3,3,1,1
1507554837203,-1,-1,1,1,1
1507554840959,-1,-1,3,1,1
1507554842471,-1,3,3,2,0
1507554842901,-1,3,3,0,0
1507554844025,-1,3,3,3,1
1507554893466,-1,3,3,3,1
1507554904314,-1,3,0,0,1
1507554911423,-1,3,3,3,1
1507554934853,-1,-1,-1,1,1
1507555007921,-1,3,3,3,1
1507555026328,-1,3,3,3,0
1507555026916,-1,3,3,3,0
1507555027720,-1,3,3,2,0
1507555028977,-1,3,2,2,0
1507555032207,-1,3,3,2,0
1507555033779,-1,3,3,2,0
1507555035759,-1,3,2,2,0
1507555049394,-1,-1,3,3,0
1507555051097,-1,-1,3,2,0
1507555051988,-1,-1,3,3,1
1507555053206,-1,3,3,3,0
1507555055344,-1,3,3,2,0
1507555056331,-1,3,3,2,0
1507555057437,-1,-1,-1,-1,0
1507555057827,-1,-1,3,2,0
1507555065332,-1,3,2,2,0
1507555069918,-1,3,3,2,0
1507555073487,-1,3,3,2,0
1507555078540,-1,-1,3,3,0
1507555079363,-1,3,3,3,0
1507555081198,-1,3,3,3,0
1507555136673,-1,-1,-1,0,0
1507555139170,-1,-1,-1,-1,1
1507555145166,-1,3,3,3,0
1507555152120,-1,-1,3,3,0
1507555152736,-1,3,3,1,0
1507555153070,-1,-1,3,3,0
1507555155006,-1,3,2,2,0
1507555156433,-1,-1,3,0,0
1507555156749,-1,3,3,2,0
1507555170168,-1,3,3,0,0
1507555171997,-1,-1,3,3,0
1507555196601,-1,3,3,1,0
1507555200074,-1,3,3,3,0
1507555248111,-1,-1,3,3,0
1507555298717,-1,1,2,2,1
1507555733161,-1,3,3,2,1
1507555735663,-1,3,2,2,1
1507555753876,-1,3,3,2,1
1507555777524,-1,3,3,3,0
1507555869731,-1,-1,3,0,0
1507555928470,-1,3,1,1,0
1507555949406,-1,3,3,1,0
1507555969310,-1,3,0,0,0
1507555969320,-1,3,3,0,1
1507555969329,-1,3,2,2,1
1507555969391,-1,3,0,0,0
1507555969423,-1,3,3,1,1
1507555969533,-1,-1,3,0,0
1507555969704,-1,-1,-1,3,0
1507555971051,-1,3,1,1,1
1507555971059,-1,-1,3,1,1
1507555987103,-1,3,3,3,1
1507555998782,-1,3,3,0,0
1507555999399,-1,3,3,2,0
1507556001449,-1,3,3,2,0
1507556088482,-1,-1,3,2,0
1507556088516,-1,-1,3,0,0
1507556089594,-1,3,3,1,1
1507556089597,-1,3,3,1,1
1507556089853,-1,3,3,3,0
1507556089872,-1,3,3,0,0
1507556090119,-1,3,3,3,1
1507556090154,-1,3,3,1,0
1507556090159,-1,3,1,1,1
1507556090332,-1,3,3,1,1
1507556090469,-1,3,3,1,1
1507556092000,-1,3,3,3,1
1507556100133,-1,3,3,2,1
1507556105005,-1,3,3,2,0
1507556105036,-1,3,3,1,1
1507556105054,-1,3,3,1,0
1507556105094,-1,3,3,3,1
1507556106118,-1,3,3,1,0
1507556106356,-1,3,3,2,1
1507556106369,-1,3,3,3,0
1507556106374,-1,3,1,1,0
1507556106408,-1,3,3,3,1
1507556108788,-1,3,3,3,1
1507556112759,-1,3,3,3,1
1507556113278,-1,3,3,3,1
1507556118755,-1,-1,3,3,1
1507556122777,-1,3,3,3,0
1507556132454,-1,3,3,2,0
1507556133077,-1,3,3,2,1
1507556134035,-1,3,3,3,0
1507556134845,-1,3,3,2,0
1507556139242,-1,3,3,2,1
1507556437077,-1,-1,1,1,1
1507556437103,-1,3,3,3,0
1507556437106,-1,3,3,3,1
1507556437721,-1,-1,-1,1,1
1507556437751,-1,3,3,1,1
1507556438037,-1,3,3,3,1
1507556438044,-1,3,3,0,1
1507556481175,-1,-1,-1,1,1
1507556490089,-1,3,3,3,0
1507556491127,-1,3,3,3,0
1507556492042,-1,3,3,3,0
1507556493285,-1,3,3,2,0
1507556497563,-1,3,3,2,1
1507556589768,-1,3,3,3,1
1507556596201,-1,3,3,1,1
1507556596675,-1,3,3,1,1
1507556597714,-1,3,3,1,1
1507556609819,-1,3,3,3,0
1507556717333,-1,3,3,3,1
1507556719363,-1,3,3,2,1
1507556781304,-1,3,3,3,1
1507556810595,-1,3,2,2,1
1507556811625,-1,3,3,2,1
1507556812668,-1,-1,-1,-1,1
1507556829856,-1,3,3,3,1
1507556881016,-1,3,3,3,1
1507556954152,-1,3,3,2,1
1507556958505,-1,3,3,3,1
1507557063379,-1,3,3,3,1
1507557077622,-1,-1,3,3,1
1507557551488,-1,3,3,2,1
1507557554487,-1,3,2,2,1
1507557571712,-1,3,3,2,1
1507557572204,-1,3,3,2,1
1507557577710,-1,3,3,3,1
1507557653310,-1,3,3,2,1
1507557659235,-1,3,3,2,1
1507557687141,-1,3,3,1,1
1507557687144,-1,3,3,2,1
1507557701109,-1,3,3,2,1
1507557705034,-1,3,2,2,1
1507558260992,-1,3,3,0,1
1507558277358,-1,3,3,2,0
1507558291585,-1,3,3,2,0
1507558292606,-1,3,3,3,0
1507558293344,-1,3,3,3,0
1507558295563,-1,3,3,3,1
1507558318047,-1,3,3,0,1
1507558334144,-1,3,3,2,0
1507558531496,-1,3,3,3,0
1507558605095,-1,3,3,0,0
1507558605625,-1,3,3,3,1
1507558611156,-1,3,3,3,1
1507558612149,-1,3,3,3,1
1507558616187,-1,-1,3,0,0
1507558619906,-1,3,3,2,0
1507558619923,-1,3,2,2,0
1507558619930,-1,3,3,3,0
1507558622265,-1,3,3,3,1
1507558631383,-1,3,3,1,0
1507558632235,-1,3,0,0,0
1507558634243,-1,3,1,1,0
1507558635299,-1,3,3,3,0
1507558636543,-1,3,2,2,0
1507558636912,-1,3,3,0,0
1507558639434,-1,3,3,3,1
1507558652544,-1,3,3,2,0
1507558655575,-1,3,3,1,1
1507558975037,-1,3,3,3,1
1507558989263,-1,3,3,2,0
1507558991618,-1,3,3,3,1
1507558991750,-1,3,3,3,0
1507558999373,-1,3,3,1,0
1507559000803,-1,3,3,3,0
1507559001007,-1,3,1,1,1
1507559011004,-1,3,3,2,1
1507559011220,-1,3,3,2,0
1507559014004,-1,3,3,2,0
1507559016853,-1,3,1,1,0
1507559017884,-1,3,3,3,0
1507559334814,-1,3,3,2,1
1507559344636,-1,3,3,3,0
1507559344642,-1,3,3,3,0
1507559355044,-1,3,3,2,1
1507559407324,-1,3,3,3,1
1507559740359,-1,3,3,2,1
1507559759052,-1,3,3,3,0
1507560173648,-1,3,3,0,1
1507560280437,-1,3,3,1,1
1507560281777,-1,3,3,3,1
1507560283993,-1,3,3,0,1
1507560308257,-1,3,3,3,0
1507560313874,-1,3,3,2,0
1507560418904,-1,3,3,3,0
1507561080727,-1,3,3,3,1
1507561081041,-1,3,3,3,1
1507561137376,-1,3,3,3,1
1507561154632,-1,3,3,2,1
