EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_CALLS
1518606116224,3,3,2,3,2,3,2,2
1518606116984,3,3,2,3,3,2,2,2
1518606172301,3,3,3,3,3,3,2,2
1518606253170,3,3,3,3,2,2,2,2
1518606258257,3,3,3,3,2,2,3,3
1518606273035,3,3,3,2,2,3,2,3
1518606280404,3,3,3,2,3,2,2,2
1518606285307,3,3,3,3,2,2,2,2
1518606313369,3,3,3,3,2,3,2,2
1518606330042,3,3,3,3,2,2,2,2
1518606340734,3,3,3,3,2,2,2,2
1518606396329,3,3,3,3,2,2,2,3
1518606464760,3,3,3,2,2,2,2,2
1518606511967,3,3,3,3,3,2,2,3
1518606684216,3,3,3,2,2,2,2,3
1518606797544,3,3,3,3,3,2,3,2
1518606849159,3,3,3,3,3,3,3,3
1518606872515,3,3,3,3,2,2,2,2
1518606886915,3,3,3,3,2,2,2,2
1518606894154,3,3,2,2,2,2,3,3
1518606939846,3,3,3,3,3,3,2,2
1518606956865,3,3,3,3,3,3,3,2
1518606957961,3,3,3,0,2,0,0,2
1518606960201,3,3,2,3,2,2,2,2
1518606969614,3,3,3,3,1,2,2,2
1518606972504,3,3,2,3,3,2,2,2
1518606993303,3,3,2,3,2,2,2,2
1518607016625,3,3,3,2,2,2,2,2
1518607037632,2,2,2,2,3,3,3,2
1518607047141,3,3,3,2,3,2,2,2
1518607079870,3,3,3,3,2,2,2,2
1518607129435,3,3,3,3,2,2,2,2
1518607132000,3,3,3,3,3,2,2,2
1518607164848,3,3,3,3,3,3,3,2
1518607166356,3,3,3,3,2,2,2,2
1518607184052,3,3,3,3,2,2,2,2
1518607204037,3,3,3,3,2,2,2,3
1518607211156,2,2,2,2,3,3,3,2
1518607242263,3,3,3,3,2,2,2,2
1518607248105,2,2,2,2,3,3,2,2
1518607252669,3,3,3,3,3,3,2,3
1518607315395,3,3,3,2,2,3,2,3
1518607321714,3,3,3,2,2,2,2,2
1518607368086,3,3,2,3,2,2,2,2
1518607374699,3,3,3,2,2,3,2,2
1518607422967,3,3,3,3,2,2,2,3
1518607424045,3,3,3,3,2,3,3,2
1518607460984,3,3,3,2,2,2,2,2
1518607466919,3,3,3,2,2,3,2,3
1518607510981,3,3,3,3,3,3,3,2
1518607513128,3,3,3,2,2,2,2,2
1518607521643,3,3,3,3,2,3,2,3
1518607565027,3,3,3,3,2,2,2,3
1518607593756,3,3,3,3,3,3,3,3
1518607595437,3,3,3,3,2,2,2,2
1518607597562,3,3,2,3,2,3,2,2
1518607612604,3,3,2,2,2,2,3,3
1518607720064,3,3,3,3,1,2,2,2
1518607720964,3,3,3,2,3,3,3,2
1518607721421,3,3,3,2,1,1,2,2
1518607753096,3,3,3,3,0,2,3,2
1518607775935,3,3,3,3,2,2,2,2
1518607815374,3,3,3,2,3,2,2,2
1518607818089,3,3,3,2,2,2,2,3
1518607827532,3,3,3,3,2,2,2,2
1518607836652,3,3,3,3,3,2,2,2
1518607876289,3,3,3,3,3,3,2,2
1518607901389,3,3,2,2,2,2,3,3
1518607918454,3,3,3,3,3,2,3,3
1518608031145,3,3,3,3,0,2,0,2
1518608071156,3,3,3,3,1,2,1,2
1518608084785,3,3,3,3,3,2,2,3
1518608120873,3,3,3,3,2,2,2,3
1518608144476,3,3,3,3,2,2,2,3
1518608210766,3,3,3,3,2,2,2,2
1518608223408,3,3,2,2,2,3,2,2
1518608232410,3,3,3,3,3,2,2,3
1518608244958,3,3,2,3,2,0,2,2
1518608310698,3,3,2,3,2,3,2,2
1518608327183,3,3,3,3,3,3,3,2
1518608328359,3,3,3,3,3,3,2,2
1518608349936,3,3,3,3,2,2,2,3
1518608378260,3,3,3,3,3,2,2,2
1518608383160,3,3,3,3,3,3,2,2
1518608489619,3,3,3,3,3,2,2,2
1518608556209,3,3,3,3,2,2,2,2
1518608561432,3,3,3,3,2,2,2,3
1518608595034,3,3,3,2,3,2,2,3
1518608611693,3,3,3,3,2,2,2,2
1518608810078,3,3,2,3,3,2,2,2
1518608898276,3,3,3,3,2,2,2,3
1518608899567,3,3,3,3,2,2,2,2
1518608899864,3,3,3,3,2,2,2,2
