EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_CALLS
1516264406766,3,2
1516264433201,3,3
1516264434576,3,2
1516264446256,3,2
1516264455544,3,2
1516264460019,3,2
1516264461187,3,2
1516264498418,3,2
1516264498760,3,3
1516264515218,3,2
1516264529272,3,2
1516264533920,3,2
1516264535512,3,2
1516264542384,3,3
1516264546916,3,2
1516264598783,3,2
1516264622459,3,2
1516264641876,3,2
1516264679273,3,2
1516264679365,3,2
1516264748899,3,2
1516264767220,3,2
1516264775898,3,2
1516264778275,3,2
1516264808765,3,2
1516264809903,3,3
1516264815178,3,2
1516264845251,3,2
1516264848257,3,2
1516264859236,3,2
1516264861080,3,2
1516264862225,3,3
1516264871912,3,2
1516264887170,3,3
1516264892209,3,2
1516264905186,3,2
1516264914825,3,3
1516264921829,3,2
1516264927486,3,3
1516265021289,3,2
1516265023329,3,3
1516265029915,3,3
1516265038826,3,3
1516265060074,3,2
1516265067172,3,3
1516265088781,3,2
1516265102125,3,2
1516265134458,3,3
1516265168291,3,3
1516265172795,3,3
1516265177474,3,2
1516265177931,3,3
1516265179647,3,2
1516265212892,3,3
1516265219420,3,3
1516265244108,3,2
1516265252148,3,3
1516265285653,3,2
1516265313190,3,2
1516265313710,3,2
1516265349637,3,2
1516265373950,3,3
1516265373964,3,2
1516265390856,3,3
1516265393355,3,2
1516265395281,3,3
1516265397066,3,3
1516265408198,3,3
1516265411049,3,2
1516265424702,3,3
1516265430107,3,3
1516265448938,3,3
1516265459320,3,2
1516265465997,3,3
1516265481239,3,2
1516265519768,3,2
1516265538401,3,2
1516265550480,3,3
1516265587480,3,3
1516265594215,3,2
1516265607701,3,2
1516265613757,3,3
1516265620730,3,2
1516265632620,3,2
1516265635051,3,3
1516265637529,3,2
1516265639846,3,3
1516265643923,3,2
1516265650349,3,2
1516265651623,3,3
1516265657912,3,2
1516265674087,3,2
1516265680931,3,2
1516265718370,3,3
1516265797794,3,3
1516265857757,3,3
1516265867748,3,2
1516265885487,3,1
1516265892237,3,2
1516265899681,3,3
1516265900238,3,2
1516265955993,3,2
1516266045621,3,2
1516266067899,3,2
1516266073545,3,3
1516266099098,3,2
1516266123561,3,2
1516266129933,3,3
1516266162455,3,2
1516266175599,3,2
1516266187404,3,3
1516266198738,3,2
1516266212697,3,2
1516266245539,3,2
1516266246080,3,3
1516266251008,3,3
1516266287464,3,2
1516266292483,3,3
1516266318127,3,2
1516266335100,3,3
1516266340208,3,3
1516266348869,3,2
1516266373315,3,2
1516266385631,3,2
1516266396693,3,2
1516266442821,3,3
1516266489724,3,3
1516266498875,3,2
1516266537642,3,2
1516266579231,3,2
1516266580701,3,3
1516266582133,3,2
1516266593853,3,3
1516266602491,3,3
1516266608108,3,3
1516266650540,3,2
1516266659237,3,3
1516266664759,3,3
1516266680709,3,3
1516266692847,3,3
1516266693039,3,2
1516266695483,3,2
1516266705188,3,3
1516266714069,3,3
1516266728798,3,3
1516266741435,3,2
1516266768298,3,3
1516266774844,3,2
1516266793872,3,3
1516266816331,3,3
1516266831271,3,3
1516266849108,3,3
1516266855809,3,2
1516266864721,3,3
1516266908636,3,3
1516266922487,3,3
1516266924287,3,2
1516266927942,3,2
1516266939226,3,2
1516266965256,3,2
1516266996473,3,3
1516267004740,3,2
1516267005406,3,2
1516267018539,3,3
1516267049898,3,2
1516267065720,3,2
1516267091074,3,2
1516267091450,3,2
1516267105784,3,3
1516267127910,3,2
1516267182550,3,3
1516267203496,3,3
1516267206978,3,2
1516267218610,3,2
1516267293428,3,2
1516267293772,3,2
1516267301577,3,2
1516267308107,3,2
1516267325095,3,2
1516267337502,3,3
1516267382088,3,2
1516267384478,3,3
1516267392014,3,2
1516267413388,3,3
1516267424709,3,2
1516267427147,3,3
1516267431235,3,2
1516267446621,3,3
1516267451651,3,2
1516267463050,3,2
1516267476959,3,2
1516267479313,3,2
1516267559209,3,3
1516267589479,3,2
1516267591002,3,2
1516267592168,3,2
1516267611176,3,3
1516267650958,3,3
1516267660585,3,2
1516267741950,3,3
1516267742368,3,2
1516267772202,3,2
1516267784472,3,3
1516267864908,3,2
1516267883051,3,3
1516267915428,3,2
1516267927247,3,3
1516267928790,3,3
1516267971401,3,2
1516268010342,3,2
1516268011153,3,2
1516268038767,3,2
1516268040236,3,2
1516268042970,3,2
1516268072872,3,2
1516268074669,3,2
1516268084955,3,1
1516268105754,3,3
1516268118468,3,3
1516268122553,3,3
1516268142915,3,2
1516268150942,3,3
1516268154418,3,3
1516268194122,3,2
1516268214158,3,2
1516268221617,3,2
1516268258202,3,2
1516268260223,3,3
1516268287073,3,3
1516268332275,3,3
1516268342208,3,3
1516268346948,3,2
1516268350741,3,2
1516268370510,3,2
1516268389011,3,2
1516268427370,3,2
1516268454236,3,2
1516268493664,3,3
1516268508475,3,2
1516268529090,3,2
1516268537866,3,2
1516268539611,3,2
1516268553787,3,3
1516268557437,3,2
1516268575033,3,2
1516268579622,3,2
1516268663356,3,2
1516268675167,3,2
1516268677595,3,2
1516268694597,3,2
1516268747930,3,2
1516268749110,3,2
1516268797635,3,2
1516268808192,3,2
1516268906426,3,3
1516268908705,3,2
1516268934394,3,3
1516268949593,3,3
1516268985393,3,2
1516269003599,3,3
1516269003917,3,2
1516269110782,3,2
1516269112489,3,2
1516269126327,3,2
1516269228427,3,3
1516269249052,3,2
1516269255317,3,2
1516269257139,3,2
1516269257884,3,2
1516269276070,3,3
1516269312150,3,2
1516269313892,3,2
1516269315049,3,2
1516269333534,3,3
1516269361196,3,2
1516269362356,3,2
1516269392368,3,3
1516269416689,3,3
1516269423397,3,2
1516269430143,3,3
1516269457104,3,3
1516269457941,3,3
1516269459041,3,3
1516269464219,3,2
1516269465473,3,2
1516269467893,3,3
1516269472375,3,3
1516269473097,3,2
1516269485163,3,2
1516269490605,3,2
1516269505501,3,3
1516269518786,3,3
1516269537499,3,3
1516269576315,3,2
1516269591439,3,2
1516269602428,3,3
1516269609714,3,3
1516269626799,3,2
1516269631477,3,2
1516269645065,3,3
1516269660855,3,2
1516269738336,3,2
1516269744258,3,2
1516269745383,3,2
1516269746179,3,2
1516269754546,3,2
1516269760541,3,3
1516269782771,3,2
1516269788763,3,2
1516269819513,3,3
1516269830145,3,3
1516269832638,3,2
1516269840716,3,2
1516269860265,3,2
1516269878219,3,2
1516269891209,3,2
1516269906020,3,2
1516269921083,3,2
1516269990014,3,2
1516270016154,3,2
1516270058711,3,2
1516270068704,3,2
1516270070767,3,2
1516270090048,3,2
1516270126687,3,2
1516270127488,3,3
1516270130300,3,2
1516270152514,3,2
1516270180250,3,2
1516270218988,3,2
1516270219535,3,3
1516270230098,3,3
1516270234146,3,3
1516270245097,3,2
1516270252222,3,2
1516270278137,3,3
1516270286086,3,3
1516270292914,3,2
1516270299130,3,3
1516270306589,3,3
1516270337107,3,2
1516270477125,3,1
1516270510100,3,2
1516270510898,3,3
1516270535032,3,2
1516270555123,3,2
1516270557689,3,2
1516270559947,3,2
1516270565385,3,2
1516270634658,3,3
1516270642945,3,2
1516270678307,3,3
1516270693886,3,2
1516270701315,3,2
1516270705003,3,3
1516270739548,3,2
1516270756720,3,2
1516270782394,3,3
1516270816115,3,2
1516270819626,3,3
1516270831074,3,3
1516270874015,3,3
1516270877388,3,3
1516270891913,3,3
1516270944953,3,2
1516270955238,3,2
1516270956325,3,3
1516270964262,3,2
1516270965999,3,2
1516271022440,3,3
1516271022759,3,3
1516271030002,3,3
1516271031132,3,3
1516271036367,3,2
1516271047673,3,2
1516271055704,3,3
1516271056852,3,3
1516271103893,3,3
1516271105030,3,3
